user,timestamp,number_of_emails_dispatched,number_of_files_interacted,total_logon_attempts,usb_connection_incidents,nighttime_email_events,number_of_night_logons,trait_openness_score,trait_conscientiousness_score,trait_extraversion_score,trait_agreeableness_score,trait_neuroticism_score,weekday_index,is_weekend_day,email_volume_change_1d,logon_variation_1d,logon_rolling_average_7d,logon_to_email_event_ratio,usb_to_logon_ratio,file_to_email_ratio,email_volume_volatility_3d,logon_volatility_3d,predicted_threat_label
user_50442,2022-03-01 00:12:00,17,5,5,2,2,0,6,18,11,16,16,1,0,1.398390420469055,4.101165045265281,1.0856470198277646,0.8495681555830995,0.028374263422575798,0.44722541705605723,0.30927989181320686,0.2702524409940483,0
user_47517,2022-03-01 00:41:00,22,11,11,1,1,1,5,16,14,8,17,1,0,1.7471008556171232,0.9113269439319461,0.5517072114715935,0.699323357808931,0.82119149141151,0.8644042853820597,0.6572229626542205,0.5009246812098113,0
user_45197,2022-03-01 00:51:00,11,12,10,2,1,1,11,17,16,18,7,1,0,4.874086412569252,3.5219105315083077,3.8206204530537176,0.8580349486158964,0.9729496089757321,0.7756930581055759,0.9767695630606916,0.5594126991238065,0
user_50439,2022-03-01 00:58:00,19,7,9,0,0,1,14,12,13,7,13,1,0,3.8665347654061617,3.5784893181817763,0.8809201165090531,2.532961289266237,0.6831130394736418,0.7332565547809254,0.8694446614936646,0.9381880128795776,0
user_49002,2022-03-01 01:14:00,24,10,5,0,0,3,17,18,6,18,10,1,0,3.414017132790728,0.4195242182649302,7.112645080077203,1.5443588478874828,0.19551781912304605,1.265549206546249,0.4397179880526735,0.8182682179658122,0
user_51603,2022-03-01 01:32:00,22,8,6,0,1,1,9,14,9,16,10,1,0,0.10291916681782609,1.1915193479335195,9.655382025868933,0.32386108744762077,0.706992758523007,1.4883181538215853,0.39690690309212817,0.801346070396234,0
user_50360,2022-03-01 01:42:00,21,9,10,1,2,2,16,15,15,15,14,1,0,3.7030358381961657,0.42212335761064584,27.17386250070533,2.272964579211727,0.052221345059254,0.6194143944719542,0.31256957872053387,0.9097813464637913,0
user_49901,2022-03-01 02:32:00,23,12,7,0,2,1,14,9,6,17,8,1,0,2.137289927113877,0.3578253517521987,3.6022072076189957,1.2684367167516861,0.48567012980724605,0.512216483461277,0.27348029528500134,0.6500772685852855,0
user_50626,2022-03-01 02:38:00,18,12,3,0,2,0,17,14,13,15,13,1,0,1.2075305441664332,0.7572715061026456,7.999427487983958,0.9330040521593332,0.8636392263431305,1.3626838956479486,0.20322856193573946,0.9004105277208693,0
user_45157,2022-03-01 02:58:00,21,7,6,0,1,3,14,20,8,17,7,1,0,0.7723561796009445,1.4318579267756026,3.6343883371645944,2.9736897481851217,0.0830080980640575,0.6115196682926677,0.921839832720968,0.619064570644106,0
user_51398,2022-03-01 03:10:00,23,6,9,0,1,1,9,11,10,19,14,1,0,2.0739612796245557,1.6495797667006609,5.912438688142672,2.876496280032507,0.6260021231327321,0.48176114271223514,0.8776735386991983,0.7020358440126858,0
user_51918,2022-03-01 03:18:00,20,11,6,1,3,0,17,17,20,20,14,1,0,5.2453848771907445,0.9813122145789351,19.564293731644852,1.8391161980159825,0.17749160585853768,0.6924621991309527,0.7308175092770792,0.4768676104063977,0
user_47836,2022-03-01 03:24:00,17,12,10,1,2,0,14,18,6,11,10,1,0,2.219373913935618,3.1783116414969554,11.64336110182288,0.7703473772423461,0.8166567033321853,0.480444919377754,0.43186179493919674,0.9850565421323221,0
user_49975,2022-03-01 04:01:00,11,10,3,0,2,1,12,12,20,7,16,1,0,6.846770629580073,1.4815370492261508,3.665394270120212,2.7934987525104567,0.583989101962983,0.40920967305082634,0.20264885664666085,0.36896045072055916,0
user_50845,2022-03-01 04:23:00,23,10,9,1,2,1,17,11,12,6,14,1,0,0.39544235177998843,0.3483787994386831,1.978608408884388,0.7336225616478425,0.5968010972192676,0.3715441981444966,0.7405939890157613,0.3056115757677814,0
user_51433,2022-03-01 04:31:00,16,7,11,1,1,2,8,12,11,14,11,1,0,0.10276408543044671,3.353828603766874,8.34852438992882,2.851144257387011,0.117855876391249,0.4470208724329785,0.5211293471688929,0.7912777709998827,0
user_45150,2022-03-01 04:37:00,15,6,7,1,3,0,11,19,12,17,6,1,0,2.0525625608316984,4.34989747614348,5.094431389928219,0.4711229863029437,0.6153950059518859,1.1253302681716897,0.6279327850450419,0.22615144290925399,0
