user,timestamp,number_of_emails_dispatched,number_of_files_interacted,total_logon_attempts,usb_connection_incidents,nighttime_email_events,number_of_night_logons,trait_openness_score,trait_conscientiousness_score,trait_extraversion_score,trait_agreeableness_score,trait_neuroticism_score,weekday_index,is_weekend_day,email_volume_change_1d,logon_variation_1d,logon_rolling_average_7d,logon_to_email_event_ratio,usb_to_logon_ratio,file_to_email_ratio,email_volume_volatility_3d,logon_volatility_3d,predicted_threat_label
user_17000,2021-05-29 10:52:17,46,9,11,4,2,2,16,5,9,12,7,5,1,0.3560416008436038,3.455142999049331,2.8016845279753424,0.2391304347826087,0.36363636363636365,0.1956521739130435,0.2937967751898122,0.6903595284197017,0
user_17001,2021-07-01 05:52:55,22,5,12,0,2,3,15,17,20,9,5,3,0,2.909958348455547,3.638540969759891,9.85526649361687,0.5454545454545454,0.0,0.22727272727272727,0.550279720141509,0.6394165368904509,0
user_17002,2021-07-04 01:10:27,29,7,12,3,4,2,6,17,18,20,5,6,1,0.7735897748477405,3.972260109762042,6.400686029667037,0.41379310344827586,0.25,0.2413793103448276,0.5875971891988871,0.31618158158348036,0
user_17003,2021-06-04 22:52:33,44,17,1,0,1,4,13,11,13,16,11,4,0,3.4051058664509255,1.3943694898843788,1.5023554498659422,0.022727272727272728,0.0,0.38636363636363635,0.26576941819907013,0.9936025015960002,0
user_17004,2021-07-26 02:25:33,19,7,11,1,4,3,18,12,5,19,17,0,0,1.0836752360917121,0.3859367639068323,1.5527012288084387,0.5789473684210527,0.09090909090909091,0.3684210526315789,0.7609706330424397,0.6965640735684383,0
user_17005,2021-05-16 13:43:14,12,8,14,4,6,2,19,5,15,20,8,6,1,0.6896353299602498,4.875283807181264,8.934840226323702,1.1666666666666667,0.2857142857142857,0.6666666666666666,0.16037959328328388,0.8697650240435235,0
user_17006,2021-07-03 04:07:53,6,13,4,0,2,2,14,6,10,8,6,5,1,1.7740765730638284,2.7970048164818753,1.7890597272651516,0.6666666666666666,0.0,2.1666666666666665,0.7160510929606021,0.4983011754835871,0
user_17007,2021-05-31 21:41:18,15,14,9,2,3,4,19,12,5,17,6,0,0,2.7897751570061993,2.879214232627194,6.865951075623517,0.6,0.2222222222222222,0.9333333333333333,0.33311270863275216,0.2037873186098222,0
user_17008,2021-07-08 23:08:42,25,17,15,2,3,3,19,18,7,17,8,3,0,1.2974476394698329,3.4725168677359193,2.109303913581755,0.6,0.13333333333333333,0.68,0.10904970953234522,0.32045289138483285,0
user_17009,2021-05-03 00:42:34,6,16,9,3,6,0,13,6,20,16,20,0,0,0.7376359855638446,1.8929006058997024,1.2045108619185754,1.5,0.3333333333333333,2.6666666666666665,0.16985953865759718,0.5649019430192375,0
