user,timestamp,number_of_emails_dispatched,number_of_files_interacted,total_logon_attempts,usb_connection_incidents,nighttime_email_events,number_of_night_logons,trait_openness_score,trait_conscientiousness_score,trait_extraversion_score,trait_agreeableness_score,trait_neuroticism_score,weekday_index,is_weekend_day,email_volume_change_1d,logon_variation_1d,logon_rolling_average_7d,logon_to_email_event_ratio,usb_to_logon_ratio,file_to_email_ratio,email_volume_volatility_3d,logon_volatility_3d,predicted_threat_label
user_52000,2022-01-30 13:54:43,20,7,6,0,1,1,8,16,14,9,11,6,1,5.743657252959617,4.10416502129146,1.9514944947235051,0.3,0.0,0.35,0.6164859455861653,0.9663556046118904,0
user_52001,2021-10-04 22:12:55,24,13,5,0,0,0,12,16,9,5,11,0,0,0.643647342559371,6.819664343339132,9.334786224930344,0.208,0.0,0.542,0.907822834172632,0.3166185453350801,0
user_52002,2021-12-18 01:44:07,28,13,14,0,0,0,18,13,13,20,20,5,1,5.698905347510065,1.5931243156233938,1.307226340106085,0.5,0.0,0.464,0.728772889764612,0.3232108295471167,0
user_52003,2021-12-08 14:26:12,24,11,5,0,0,0,7,9,17,10,6,2,0,5.290847684547154,4.470178176107738,11.148432566775941,0.208,0.0,0.458,0.6432496444291376,0.49415215069586554,0
user_52004,2021-12-03 15:32:16,18,10,3,1,1,0,19,10,9,11,8,4,0,0.4601377351791042,4.082057306364845,3.233532669996534,0.167,0.333,0.556,0.9797476451811831,0.684234169424669,0
user_52005,2022-01-12 22:49:20,16,12,7,0,0,0,15,9,16,13,12,2,0,2.9349101973779717,1.4651866459875518,0.12062992108301945,0.438,0.0,0.75,0.8267747565012449,0.41932723772102815,0
user_52006,2021-12-12 09:43:27,22,8,9,0,0,0,14,17,18,12,20,6,1,1.2303730381794133,3.976180960837819,11.94746183058293,0.409,0.0,0.364,0.7162510620426408,0.3294973172646215,0
user_52007,2021-11-19 03:47:14,19,11,6,0,0,1,17,7,10,10,17,4,0,2.539429077626031,0.9214737669509101,2.960067287973212,0.316,0.0,0.579,0.2255206516577066,0.7553615971755123,0
user_52008,2021-10-17 04:29:44,13,7,12,0,1,0,16,19,11,9,14,6,1,3.8045062563166816,2.7446935333317004,7.871837707065255,0.923,0.0,0.538,0.9321366694602233,0.8683723464392823,0
user_52009,2021-11-23 19:50:49,16,15,8,1,0,0,8,6,16,7,6,1,0,2.0622797879661157,1.1297637679111294,1.5002104308989077,0.5,0.125,0.938,0.6185428648104324,0.46393365145374166,0
user_52010,2022-01-06 21:03:48,25,11,9,1,1,0,7,20,18,17,13,3,0,5.457960064100922,3.4409349222385135,0.32556785065966154,0.36,0.111,0.44,0.4300674757732943,0.47510511899260016,0
user_52011,2021-11-03 18:44:12,19,9,6,1,0,0,8,12,7,5,6,2,0,1.6554791365274686,0.20521333151791854,1.6380513269138395,0.316,0.167,0.474,0.5341018727128112,0.8861698874179051,0
