user,timestamp,number_of_emails_dispatched,number_of_files_interacted,total_logon_attempts,usb_connection_incidents,nighttime_email_events,number_of_night_logons,trait_openness_score,trait_conscientiousness_score,trait_extraversion_score,trait_agreeableness_score,trait_neuroticism_score,weekday_index,is_weekend_day,email_volume_change_1d,logon_variation_1d,logon_rolling_average_7d,logon_to_email_event_ratio,usb_to_logon_ratio,file_to_email_ratio,email_volume_volatility_3d,logon_volatility_3d,predicted_threat_label
user_66000,2022-10-13 00:05:00,22,5,9,0,3,4,8,5,16,19,7,3,0,6.596478,7.083012,6.137628,0.41,0.0,0.23,0.336298,0.833064,0
user_66001,2022-09-03 12:53:00,21,7,7,0,5,1,10,4,14,8,5,5,1,5.901036,4.564407,6.380993,0.33,0.0,0.33,0.962384,0.721305,0
user_66002,2022-10-18 23:54:00,19,15,8,0,0,1,16,5,15,5,18,1,0,3.951869,4.977445,10.754335,0.42,0.0,0.79,0.57014,0.848365,0
user_66003,2022-09-07 08:06:00,14,5,8,0,1,0,18,4,16,13,16,2,0,5.923559,9.079381,6.479458,0.57,0.0,0.36,0.955207,0.539927,0
user_66004,2022-09-27 11:56:00,18,9,8,1,1,0,4,14,18,5,11,1,0,3.701963,4.480318,9.635485,0.44,0.12,0.5,0.97069,0.583541,0
user_66005,2022-09-24 15:58:00,17,6,8,1,1,2,18,1,4,9,8,5,1,4.850329,7.585818,6.0779,0.47,0.12,0.35,0.345536,0.917162,0
user_66006,2022-09-13 05:17:00,17,15,7,1,1,0,13,1,1,5,4,1,0,2.3095,5.620395,9.841552,0.41,0.14,0.88,0.320973,0.630939,0
user_66007,2022-09-23 10:39:00,16,5,9,0,2,1,10,18,17,8,1,4,0,7.554513,7.196678,8.857272,0.56,0.0,0.31,0.362755,0.409711,0
user_66008,2022-10-04 18:04:00,27,12,13,0,1,1,19,0,12,15,15,1,0,7.872324,2.533462,2.333514,0.48,0.0,0.44,0.521775,0.389229,0
user_66009,2022-10-12 18:21:00,20,11,9,1,3,3,20,7,18,5,12,2,0,2.812322,7.222342,4.344838,0.45,0.11,0.55,0.987022,0.456069,0
user_66010,2022-09-13 10:21:00,9,15,14,0,0,3,18,5,5,11,9,1,0,1.225331,3.979349,7.65451,1.56,0.0,1.67,0.863282,0.998379,0
user_66011,2022-09-16 08:41:00,18,4,3,0,2,1,11,10,5,4,20,4,0,5.429669,2.644358,4.102807,0.17,0.0,0.22,0.304316,0.648548,1
user_66012,2022-10-03 20:02:00,30,11,4,1,2,1,18,13,0,6,4,0,0,5.301359,9.314906,10.825189,0.13,0.25,0.37,0.542905,0.699704,0
user_66013,2022-10-08 05:47:00,26,12,4,1,3,2,4,19,5,9,0,5,1,4.649803,10.700375,6.282171,0.15,0.25,0.46,0.973199,0.446013,0
user_66014,2022-10-06 14:00:00,21,13,7,1,5,1,0,20,4,17,6,3,0,4.051988,2.58986,5.572131,0.33,0.14,0.62,0.603723,0.863867,0
user_66015,2022-10-02 05:46:00,21,7,3,0,3,1,10,16,12,1,16,6,1,7.740037,6.883396,9.242519,0.14,0.0,0.33,0.932782,0.567775,0
user_66016,2022-10-13 19:47:00,23,8,6,0,3,1,15,8,14,1,2,3,0,9.693163,3.294157,5.785191,0.26,0.0,0.35,0.310691,0.770316,0
user_66017,2022-09-09 03:34:00,17,13,4,0,0,1,9,15,11,9,9,4,0,9.469435,6.700393,12.553117,0.24,0.0,0.76,0.568275,0.573485,0
user_66018,2022-09-21 18:26:00,21,14,13,0,5,4,9,3,12,18,4,2,0,7.405937,0.377942,3.181747,0.62,0.0,0.67,0.328008,0.516525,0
user_66019,2022-09-22 06:41:00,22,16,2,0,0,1,12,4,11,19,8,3,0,0.131326,0.834384,8.845613,0.09,0.0,0.73,0.487848,0.854439,0
user_66020,2022-09-06 18:16:00,15,13,6,1,1,0,0,13,15,13,5,1,0,3.825336,7.071772,1.951412,0.4,0.17,0.87,0.409281,0.587884,0
user_66021,2022-09-02 07:51:00,21,12,7,0,1,2,17,11,19,16,2,4,0,5.487443,5.537514,5.224591,0.33,0.0,0.57,0.748587,0.495125,0
user_66022,2022-09-10 13:16:00,18,10,6,1,1,1,2,3,1,17,0,5,1,6.92141,8.765671,5.461706,0.33,0.17,0.56,0.776112,0.859945,0
user_66023,2022-09-21 23:55:00,17,8,8,0,1,0,7,13,10,10,16,2,0,11.054774,6.916239,7.3477,0.47,0.0,0.47,0.99699,0.524968,0
user_66024,2022-09-17 17:28:00,24,6,6,0,1,2,2,18,18,9,16,5,1,1.192991,8.986775,3.407361,0.25,0.0,0.25,0.425202,0.719686,0
user_66025,2022-10-10 22:50:00,16,11,6,0,2,1,5,13,4,18,8,0,0,4.98774,10.234754,6.928798,0.38,0.0,0.69,0.900247,0.54552,0
user_66026,2022-10-16 00:17:00,11,6,7,0,0,2,7,20,15,10,7,6,1,7.414808,0.349115,10.201327,0.64,0.0,0.55,0.371913,0.603918,0
user_66027,2022-10-23 12:16:00,22,8,7,0,2,0,8,7,16,11,3,6,1,11.210132,6.569977,8.265225,0.32,0.0,0.36,0.701407,0.397141,0
user_66028,2022-10-29 09:45:00,14,11,15,0,3,5,1,20,13,18,11,5,1,0.840531,7.748064,6.42896,1.07,0.0,0.79,0.674122,0.559796,0
user_66029,2022-10-30 08:33:00,21,7,11,0,2,3,5,17,20,14,13,6,1,6.604877,7.612928,8.93461,0.52,0.0,0.33,0.893162,0.445645,0
user_66030,2022-10-23 03:42:00,16,10,11,0,0,1,3,11,1,11,14,6,1,2.900638,7.329109,3.147779,0.69,0.0,0.62,0.752721,0.906899,0
user_66031,2022-10-10 10:23:00,18,9,6,1,0,2,3,12,9,20,2,0,0,2.442663,0.552684,6.321185,0.33,0.17,0.5,0.914553,0.688639,0
user_66032,2022-09-27 16:02:00,25,10,5,0,3,1,17,1,13,20,19,1,0,1.046798,6.991781,8.32609,0.2,0.0,0.4,0.648307,0.415851,1
user_66033,2022-09-09 20:03:00,23,10,7,1,3,1,20,12,6,0,3,4,0,7.988942,4.220369,9.16405,0.3,0.14,0.43,0.3696,0.734665,0
user_66034,2022-09-29 08:55:00,16,14,7,0,3,0,17,13,9,3,9,3,0,5.46261,0.090181,3.737499,0.44,0.0,0.88,0.341537,0.452033,0
user_66035,2022-09-28 12:38:00,25,10,9,1,3,0,17,20,16,10,13,2,0,2.442914,6.87897,6.151786,0.36,0.11,0.4,0.904354,0.343985,0
user_66036,2022-10-11 09:06:00,13,9,8,1,1,2,0,19,18,6,9,1,0,4.483968,8.802851,9.630308,0.62,0.12,0.69,0.817863,0.818191,0
user_66037,2022-10-03 04:34:00,20,12,8,0,4,1,0,13,1,2,12,0,0,7.173048,3.406169,8.73926,0.4,0.0,0.6,0.751159,0.406579,0
user_66038,2022-09-06 04:37:00,20,14,7,1,1,3,11,7,11,11,2,1,0,7.772692,5.757561,5.410831,0.35,0.14,0.7,0.367119,0.909378,0
user_66039,2022-10-05 06:03:00,25,7,11,0,2,0,17,18,11,8,12,2,0,6.735752,1.791861,8.360492,0.44,0.0,0.28,0.933851,0.64335,0
user_66040,2022-09-17 05:39:00,17,17,5,1,0,1,16,7,1,7,19,5,1,5.511629,2.657975,7.69408,0.29,0.2,1.0,0.944062,0.823001,1
user_66041,2022-10-29 00:38:00,18,13,9,0,2,2,9,5,1,16,19,5,1,8.453551,3.298523,8.423061,0.5,0.0,0.72,0.361076,0.68041,1
user_66042,2022-09-09 02:09:00,12,5,10,2,1,0,12,20,1,7,11,4,0,4.121131,7.123028,7.642804,0.83,0.2,0.42,0.901584,0.678352,0
user_66043,2022-09-02 16:19:00,10,11,7,1,2,2,11,1,13,1,7,4,0,5.504323,8.352926,6.465569,0.7,0.14,1.1,0.789141,0.998381,0
user_66044,2022-09-29 17:37:00,22,9,4,1,2,2,3,8,15,19,15,3,0,3.531017,8.864021,11.06214,0.18,0.25,0.41,0.558847,0.895363,0
user_66045,2022-09-01 14:44:00,23,5,7,2,1,2,19,20,10,1,19,3,0,7.354729,5.877502,8.561653,0.3,0.29,0.22,0.47317,0.652412,1
user_66046,2022-10-12 13:17:00,19,13,9,2,1,0,20,9,4,1,14,2,0,8.699431,1.202641,11.926739,0.47,0.22,0.68,0.705285,0.632701,0
user_66047,2022-10-29 05:55:00,17,5,7,1,2,1,10,13,20,13,5,5,1,0.193305,0.480349,8.697856,0.41,0.14,0.29,0.601429,0.567757,0
user_66048,2022-10-04 16:04:00,23,12,10,0,2,4,5,4,14,16,9,1,0,3.070087,5.02505,2.319862,0.43,0.0,0.52,0.820513,0.368578,0
user_66049,2022-10-07 05:22:00,16,4,11,0,2,3,12,3,10,6,16,4,0,6.134267,8.11775,6.723458,0.69,0.0,0.25,0.636237,0.696872,0
user_66050,2022-09-02 22:19:00,24,8,3,0,4,1,0,7,10,10,15,4,0,1.638335,4.03725,9.366729,0.12,0.0,0.33,0.875631,0.920986,0
user_66051,2022-09-08 16:09:00,32,8,7,1,1,3,16,6,16,0,6,3,0,3.876733,2.290017,6.419619,0.22,0.14,0.25,0.736539,0.753831,0
user_66052,2022-10-17 00:45:00,21,7,7,1,2,3,9,13,19,10,5,0,0,3.356086,8.95567,5.479102,0.33,0.14,0.33,0.797121,0.904687,0
user_66053,2022-10-15 11:48:00,20,8,8,0,1,1,17,16,16,19,5,5,1,12.585148,4.520409,10.474668,0.4,0.0,0.4,0.338932,0.402997,0
user_66054,2022-09-30 00:57:00,16,9,5,0,1,1,18,1,12,16,12,4,0,4.985399,5.447945,6.600729,0.31,0.0,0.56,0.83787,0.594961,0
user_66055,2022-09-04 22:32:00,27,10,11,1,3,4,6,16,16,18,17,6,1,8.364253,3.968935,4.878522,0.41,0.09,0.37,0.466804,0.832719,0
user_66056,2022-10-25 18:25:00,24,8,4,1,3,1,18,17,5,5,20,1,0,4.77216,1.643577,11.879719,0.17,0.25,0.33,0.642502,0.326746,1
user_66057,2022-10-28 18:45:00,22,14,7,1,3,1,13,7,18,17,12,4,0,3.138511,0.614058,2.725297,0.32,0.14,0.64,0.837013,0.717424,0
user_66058,2022-10-17 04:53:00,21,9,7,0,3,0,1,2,14,16,4,0,0,8.355125,1.701123,2.201807,0.33,0.0,0.43,0.363386,0.786574,0
user_66059,2022-09-05 14:55:00,14,11,13,1,4,2,11,10,8,14,9,0,0,4.695158,3.686914,6.795898,0.93,0.08,0.79,0.511017,0.613876,0
